source,run,config_id,data,feature_set,seed,split_seed,split_strategy,train_max_samples,n_train_full,n_train_used,n_val,n_test,epochs,name,hidden_dims,batch_size,lr,dropout,weight_decay,embed_dim_cap,n_params,best_val_epoch,train_mse,val_mse,test_mse,train_rmse,val_rmse,test_rmse,train_mdape,val_mdape,test_mdape,train_acc_pct,val_acc_pct,test_acc_pct,seconds
sweep_deep_test,1,af58a36dee,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,base3,"256,128,64",8192,0.0015,0.15,0.005,128,294105,3,10.526452734375,10.535007951086532,10.945493418301929,3.2444495271732925,3.245767698262852,3.308397409366343,0.9523692727088928,0.9520711898803711,0.9532094597816467,4.763072729110718,4.792881011962891,4.679054021835327,4.53
sweep_deep_test,2,6329de4037,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,tiny2,"64,32",2048,0.0003,0.05,1e-05,32,146305,3,119.9521559375,119.92003844535004,119.98468422482998,10.952267159702597,10.950800812970257,10.95375206150066,0.9999847412109375,0.9999847412109375,0.9999847412109375,0.00152587890625,0.00152587890625,0.00152587890625,3.51
sweep_deep_test,3,2ff5bd613f,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,big5,"1024,512,256,128,64",4096,0.0007,0.15,0.0001,16,813073,2,6.365041318359375,6.527404267280547,9.7409785397968,2.5229033509747008,2.5548785229988034,3.121054075115777,0.8869016766548157,0.8872210383415222,0.8884292840957642,11.309832334518433,11.277896165847778,11.157071590423584,6.38
sweep_deep_test,4,94a057868f,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,deep4,"512,256,128,64",4096,0.0003,0.1,1e-06,32,351233,3,18.800844921875,18.967272934111207,21.235216962593377,4.335994109990811,4.355143273660604,4.608168504144936,16.73067855834961,16.753541946411133,16.550600051879883,0.0,0.0,0.0,6.16
sweep_deep_test,5,dad62b63c5,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,wide3,"512,256,128",1024,0.002,0.1,0.0005,32,343041,3,0.28093176696777344,0.3318463457468198,0.504652488147924,0.5300299679902765,0.576061060779862,0.7103889696130733,0.26172247529029846,0.26248282194137573,0.26264169812202454,73.82775247097015,73.75171780586243,73.73583018779755,4.64
sweep_deep_test,6,9756cf8259,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,tiny2,"64,32",8192,0.0015,0.02,0.0005,128,235225,3,78.7507853125,78.56494595212345,78.69099328241721,8.874163921885824,8.863686927691177,8.87079439973767,0.9998515248298645,0.9998447895050049,0.999845564365387,0.014847517013549805,0.015521049499511719,0.015443563461303711,2.85
sweep_deep_test,7,f6e8ff011e,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,wide3,"512,256,128",2048,0.0015,0.0,0.001,32,343041,3,0.63014205078125,0.7073464770613157,1.309753903174084,0.7938148718569399,0.8410389271973775,1.144444801278805,0.4497406482696533,0.448243111371994,0.4502241909503937,55.02593517303467,55.1756888628006,54.97758090496063,2.86
sweep_deep_test,8,e0b5891746,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,small2,"128,64",4096,0.002,0.15,0.0,16,83729,3,8.604558671875,8.595271751552588,9.00776589851154,2.9333528038534675,2.9317693892174717,3.0012940373298216,0.9366167783737183,0.936911404132843,0.9369036555290222,6.338322162628174,6.308859586715698,6.309634447097778,2.77
sweep_deep_test,9,164c9849c4,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,big5,"1024,512,256,128,64",1024,0.0025,0.05,1e-05,32,915457,3,0.24687043273925782,0.29136735413212167,0.33125011994030873,0.49686057676098416,0.5397845441767685,0.5755433258585393,0.26908883452415466,0.2694055140018463,0.2691478431224823,73.09111654758453,73.05944859981537,73.08521568775177,5.34
sweep_deep_test,10,7b0683f1df,ann_tensors.pt,,42,42,random,50000,418549,50000,89689,89690,3,wide3,"512,256,128",8192,0.0005,0.05,0.001,16,257041,3,13.271347109375,13.56075647515303,18.086042723547777,3.642986015533823,3.6824932416982152,4.252768830250214,1.8721178770065308,1.9484232664108276,1.8838398456573486,0.0,0.0,0.0,3.8
